S (in)	X Coordinate (in)	Y Coordinate (in)	Z Coordinate (in)	Normal Stress (psi)
13.043	31.573	93.427	2.3055e-016	-2532.7
13.113	31.643	93.427	2.1518e-016	-2699.5
13.183	31.713	93.427	1.9981e-016	-2876.9
13.254	31.784	93.427	1.8444e-016	-3054.4
13.324	31.854	93.427	1.6907e-016	-3231.8
13.394	31.924	93.427	1.537e-016	-3409.2
13.464	31.994	93.427	1.3833e-016	-3586.6
13.534	32.064	93.427	1.2296e-016	-3764.
13.604	32.134	93.427	1.0759e-016	-3943.6
13.674	32.204	93.427	9.222e-017	-4138.2
13.744	32.274	93.427	7.685e-017	-4332.8
13.815	32.345	93.427	6.148e-017	-4527.4
13.885	32.415	93.427	4.611e-017	-4722.
13.955	32.485	93.427	3.074e-017	-4916.6
14.025	32.555	93.427	1.537e-017	-5111.1
14.095	32.625	93.427	0.	-5305.7
